Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Game
1970,Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.47,0.0,0.18,1.05,Aliens vs Predator
1971,Defender,2600,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05,Defender
1972,Dance on Broadway,Wii,2010,Misc,Ubisoft,0.27,0.66,0.0,0.12,1.05,Dance on Broadway
1973,Adventure Island,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,Adventure Island
1974,Arc the Lad II,PS,1996,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05,Arc the Lad II
1975,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05,Tag Team Match M.U.S.C.L.E.
1976,Derby Stallion 96,SNES,1996,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05,Derby Stallion 96
1977,UFC Undisputed 3,PS3,2012,Action,THQ,0.55,0.34,0.03,0.13,1.05,UFC Undisputed 3
1978,NBA 2K3,PS2,2002,Sports,Sega,0.51,0.4,0.0,0.13,1.05,NBA 2K3
1979,Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05,Dragon Ball: XenoVerse
1980,The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05,The Simpsons: Road Rage
1981,Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,Dave Mirra Freestyle BMX
1982,Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,0.45,0.49,0.0,0.11,1.05,Imagine: Animal Doctor
1983,WWE SmackDown vs. Raw 2010,X360,2009,Fighting,THQ,0.56,0.38,0.01,0.11,1.05,WWE SmackDown vs. Raw 2010
1984,Forza Motorsport,XB,2005,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05,Forza Motorsport
1985,Sonic the Hedgehog,X360,2006,Platform,Sega,0.44,0.49,0.0,0.11,1.05,Sonic the Hedgehog
1986,MySims Agents,Wii,2009,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.05,MySims Agents
1987,Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05,Monster Rancher 2
1988,Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.58,0.06,0.37,0.04,1.05,Pokemon Conquest
1989,The Simpsons Game,X360,2007,Action,Electronic Arts,0.54,0.4,0.0,0.11,1.05,The Simpsons Game
1990,Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04,Guinness World Records: The Videogame
1991,MVP Baseball 2003,PS2,2003,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04,MVP Baseball 2003
1992,Legacy of Kain: Soul Reaver,PS,2007,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,Legacy of Kain: Soul Reaver
1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.33,0.37,0.26,0.09,1.04,Dragon Ball Z: Budokai Tenkaichi 3
1994,Disney Tangled,DS,2010,Action,Disney Interactive Studios,0.58,0.37,0.0,0.09,1.04,Disney Tangled
1995,Tales of Destiny,PS,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04,Tales of Destiny
1996,ATV: Quad Power Racing,PS,2000,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04,ATV: Quad Power Racing
1997,Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009,Adventure,Disney Interactive Studios,0.57,0.35,0.02,0.1,1.04,Disney Fairies: Tinker Bell and the Lost Treasure
1998,Mega Man X4,PS,1996,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04,Mega Man X4
1999,Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04,Naruto: Clash of Ninja 2
2000,Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,Dance Dance Revolution SuperNOVA
2001,Brink,X360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.04,Brink
2002,F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,F-Zero: Maximum Velocity
2003,Bomberman 64,N64,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04,Bomberman 64
2004,Jeremy McGrath Supercross 98,PS,1998,Racing,Acclaim Entertainment,0.91,0.1,0.0,0.03,1.04,Jeremy McGrath Supercross 98
2005,LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision,0.62,0.33,0.0,0.09,1.04,LEGO Indiana Jones 2: The Adventure Continues
2006,Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04,Project CARS
2007,Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04,Need for Speed: Most Wanted
2008,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04,Kirby: Mass Attack
2009,LEGO Marvel Super Heroes,XOne,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0.0,0.09,1.04,LEGO Marvel Super Heroes
2010,ZhuZhu Pets,DS,2010,Simulation,Activision,0.68,0.27,0.0,0.09,1.04,ZhuZhu Pets
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04,Tom Clancy's Ghost Recon Advanced Warfighter 2
2012,MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,0.16,0.58,0.0,0.3,1.04,MotorStorm: Arctic Edge
2013,WipEout Pure,PSP,2005,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04,WipEout Pure
2014,EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04,EA Sports UFC
2015,MX vs. ATV Unleashed,PS2,2005,Racing,THQ,0.86,0.03,0.0,0.14,1.03,MX vs. ATV Unleashed
2016,Sonic Unleashed,PS3,2008,Platform,Sega,0.56,0.33,0.01,0.14,1.03,Sonic Unleashed
2017,Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03,Tiger Woods PGA Tour 08
2018,Rayman Origins,PS3,2011,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03,Rayman Origins
2019,Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.72,0.23,0.0,0.08,1.03,Epic Mickey 2: The Power of Two
2020,NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03,NCAA March Madness 2004
2021,Donkey Kong Land III,GB,2007,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03,Donkey Kong Land III
2022,Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03,Bomberman
2023,The Simpsons Game,Wii,2007,Action,Electronic Arts,0.45,0.47,0.0,0.11,1.03,The Simpsons Game
2024,Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,Tomb Raider
2025,Rock Band 2,Wii,2008,Misc,MTV Games,0.94,0.01,0.0,0.08,1.03,Rock Band 2
2026,Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,Street Fighter Alpha 3
2027,Bulletstorm,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,Bulletstorm
2028,FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,FIFA Soccer 08
2029,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.45,0.46,0.0,0.11,1.02,Naruto: Clash of Ninja Revolution
2030,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,Tom Clancy's Ghost Recon Advanced Warfighter 2
2031,ZombiU,WiiU,2012,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02,ZombiU
2032,Shrek 2,GC,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,Shrek 2
2033,Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.02,Petz: Catz 2
2034,Tales of Graces f,PS3,2010,Role-Playing,Namco Bandai Games,0.28,0.21,0.45,0.08,1.02,Tales of Graces f
2035,Final Fight 2,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02,Final Fight 2
2036,Wall-E,Wii,2008,Platform,THQ,0.51,0.4,0.0,0.11,1.02,Wall-E
2037,The Lost World: Jurassic Park,PS,1997,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,The Lost World: Jurassic Park
2038,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.02,Ace Combat 6: Fires of Liberation
2039,Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,Madden NFL 07
2040,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,Disney Interactive Studios,0.44,0.4,0.0,0.17,1.02,Disney Infinity 2.0: Marvel Super Heroes
2041,Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,Harry Potter and the Prisoner of Azkaban
2042,Pong: The Next Level,PS,1998,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01,Pong: The Next Level
2043,Bayonetta 2,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01,Bayonetta 2
2044,Prince of Persia,X360,2008,Action,Ubisoft,0.54,0.35,0.02,0.1,1.01,Prince of Persia
2045,God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.41,0.36,0.03,0.21,1.01,God of War: Ghost of Sparta
2046,Sonic Generations,3DS,2011,Platform,Sega,0.44,0.46,0.01,0.09,1.01,Sonic Generations
2047,Ninja Gaiden II,X360,2008,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,Ninja Gaiden II
2048,NBA Jam Tournament Edition,SNES,1995,Sports,Acclaim Entertainment,0.87,0.12,0.0,0.02,1.01,NBA Jam Tournament Edition
2049,Championship Manager 3,PC,2003,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01,Championship Manager 3
2050,Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,0.48,0.44,0.0,0.09,1.01,Guitar Hero: Warriors of Rock
2051,Oshare Majo Love and Berry: DS Collection,DS,2006,Misc,Sega,0.0,0.0,1.01,0.0,1.01,Oshare Majo Love and Berry: DS Collection
2052,Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,Monster Rancher
2053,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01,The LEGO Movie Videogame
2054,DiRT 2,PS3,2009,Racing,Codemasters,0.27,0.53,0.0,0.2,1.01,DiRT 2
2055,Rayman Legends,PS4,2014,Platform,Ubisoft,0.21,0.61,0.0,0.18,1.01,Rayman Legends
2056,NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0,NERF N-Strike Elite
2057,Ford Racing 2,PS2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,Ford Racing 2
2058,Breath of Fire III,PS,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.0,Breath of Fire III
2059,PES 2009: Pro Evolution Soccer,X360,2008,Sports,Konami Digital Entertainment,0.13,0.76,0.03,0.09,1.0,PES 2009: Pro Evolution Soccer
2060,Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1.0,Dead or Alive 2
2061,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0,1942
2062,Excitebike 64,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,Excitebike 64
2063,NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,NES Open Tournament Golf
2064,Game & Watch Gallery,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0,Game & Watch Gallery
2065,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken
2066,SoulCalibur II,XB,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,1.0,SoulCalibur II
2067,Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0,Haze
2068,UFC Undisputed 3,X360,2012,Action,THQ,0.72,0.21,0.0,0.07,1.0,UFC Undisputed 3
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales)
2070,Road & Track Presents: The Need for Speed,PS,1995,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0,Road & Track Presents: The Need for Speed
2071,NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0,NFL GameDay 2001
2072,Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.25,0.49,0.04,0.22,1.0,Killzone: Mercenary
2073,NBA Live 97,PS,1996,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0,NBA Live 97
2074,Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,Dynasty Warriors 3: Xtreme Legends
2075,Zoo Tycoon DS,DS,2005,Strategy,THQ,0.86,0.04,0.01,0.08,1.0,Zoo Tycoon DS
2076,Rocksmith 2014,PS3,2013,Misc,Ubisoft,0.51,0.27,0.05,0.15,1.0,Rocksmith 2014
2077,Dead Space 3,PS3,2013,Action,Electronic Arts,0.44,0.38,0.0,0.17,1.0,Dead Space 3
2078,Wheel of Fortune,Wii,2010,Misc,THQ,0.89,0.04,0.0,0.06,1.0,Wheel of Fortune
2079,Disney Infinity,PS3,2013,Action,Disney Interactive Studios,0.48,0.35,0.0,0.16,1.0,Disney Infinity
2080,Dark Souls,X360,2011,Role-Playing,Namco Bandai Games,0.64,0.28,0.0,0.08,1.0,Dark Souls
2081,Puzzler Collection,DS,2008,Puzzle,Ubisoft,0.17,0.78,0.0,0.04,1.0,Puzzler Collection
2082,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0,Jampack Winter 2000
2083,Dead Space 3,X360,2013,Action,Electronic Arts,0.64,0.28,0.0,0.08,0.99,Dead Space 3
2084,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.49,0.07,0.39,0.05,0.99,Phoenix Wright: Ace Attorney
2085,NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99,NFL Fever 2002
2086,The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,The Simpsons: Hit & Run
2087,Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,0.59,0.31,0.0,0.1,0.99,Littlest Pet Shop: Winter
2088,LEGO Harry Potter: Years 5-7,X360,2007,Action,Warner Bros. Interactive Entertainment,0.51,0.39,0.0,0.09,0.99,LEGO Harry Potter: Years 5-7
2089,Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,0.57,0.34,0.01,0.08,0.99,Tom Clancy's Splinter Cell: Blacklist
2090,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,Ace Combat X: Skies of Deception
2091,NCAA Football 12,X360,2011,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99,NCAA Football 12
2092,LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,Disney Interactive Studios,0.36,0.46,0.0,0.17,0.99,LEGO Pirates of the Caribbean: The Video Game
2093,Band Hero,Wii,2009,Misc,Activision,0.6,0.3,0.0,0.09,0.99,Band Hero
2094,Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.3,0.0,0.09,0.99,Cars: Race-O-Rama
2095,Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99,Oddworld: Abe's Exoddus
2096,EyePet,PS3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.09,0.99,EyePet
2097,Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0.0,0.07,0.99,Scooby-Doo! First Frights
2098,Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,0.52,0.28,0.0,0.19,0.99,Midnight Club: LA Remix
2099,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,The Bouncer
2100,Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,0.73,0.15,0.0,0.11,0.99,Guitar Hero: Aerosmith
2101,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0.0,0.11,0.99,WWE SmackDown vs Raw 2008
2102,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.65,0.0,0.11,0.99,FIFA Soccer 10
2103,Shadow The Hedgehog,GC,2005,Platform,Sega,0.76,0.2,0.0,0.03,0.99,Shadow The Hedgehog
2104,Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99,Farming Simulator 2013
2105,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99,Fallout 3
2106,Cars,DS,2006,Racing,THQ,0.85,0.05,0.0,0.08,0.98,Cars
2107,Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,Pro Evolution Soccer 2008
2108,Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,Far Cry 3
2109,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98,Xenoblade Chronicles
2110,Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.19,0.0,0.07,0.98,Just Dance 2014
2111,Mario Party Advance,GBA,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,Mario Party Advance
2112,Sonic & Sega All-Stars Racing,PS3,2010,Racing,Sega,0.36,0.46,0.0,0.17,0.98,Sonic & Sega All-Stars Racing
2113,Tetris 2,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,Tetris 2
2114,NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98,NASCAR 99
2115,Air-Sea Battle,2600,2007,Shooter,Atari,0.91,0.06,0.0,0.01,0.98,Air-Sea Battle
2116,Suikoden III,PS2,2007,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98,Suikoden III
2117,Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,0.56,0.1,0.27,0.05,0.98,Kingdom Hearts Re:coded
2118,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0.0,0.17,0.98,South Park: The Stick of Truth
2119,Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98,Driver: San Francisco
2120,Sniper Elite V2,PS3,2012,Shooter,505 Games,0.38,0.39,0.06,0.15,0.98,Sniper Elite V2
2121,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98,Far Cry 4
2122,Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,Grand Theft Auto: San Andreas
2123,Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,0.34,0.41,0.06,0.18,0.98,Tom Clancy's Splinter Cell: Blacklist
2124,Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98,Pro Evolution Soccer 2014
2125,Madden NFL 16,X360,2015,Sports,Electronic Arts,0.82,0.05,0.0,0.1,0.98,Madden NFL 16
2126,Madden NFL 10,PS2,2009,Sports,Electronic Arts,0.88,0.0,0.0,0.1,0.98,Madden NFL 10
2127,Brutal Legend,X360,2009,Action,Electronic Arts,0.62,0.27,0.0,0.09,0.98,Brutal Legend
2128,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,0.98,Tamagotchi Connection: Corner Shop 2
2129,Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97,Final Fantasy Type-0
2130,Madden NFL 08,PS3,2007,Sports,Electronic Arts,0.89,0.01,0.0,0.08,0.97,Madden NFL 08
2131,de Blob,Wii,2008,Platform,THQ,0.5,0.37,0.0,0.1,0.97,de Blob
2132,NCAA Football 06,XB,2005,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97,NCAA Football 06
2133,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97,Mass Effect 3
2134,NBA 2K10,X360,2009,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97,NBA 2K10
2135,Fire Emblem,GBA,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97,Fire Emblem
2136,Yakuza 4,PS3,2007,Action,Sega,0.15,0.14,0.63,0.05,0.97,Yakuza 4
2137,Skylanders: Spyro's Adventure,X360,2011,Action,Activision,0.53,0.35,0.0,0.1,0.97,Skylanders: Spyro's Adventure
2138,Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.56,0.33,0.0,0.08,0.97,Club Penguin: Game Day!
2139,NHL 2004,PS2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,NHL 2004
2140,Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,Grand Theft Auto: Vice City Stories
2141,NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.77,0.1,0.0,0.1,0.97,NBA 2K16
2142,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,FIFA Soccer 2005
2143,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0.0,0.08,0.97,LEGO The Lord of the Rings
2144,Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97,Romancing SaGa
2145,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97,Donkey Kong Junior
2146,LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,LEGO Star Wars II: The Original Trilogy
2147,LEGO Harry Potter: Years 5-7,PS3,2007,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0.0,0.16,0.97,LEGO Harry Potter: Years 5-7
2148,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97,Final Fantasy X / X-2 HD Remaster
2149,Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97,Medal of Honor: Underground
2150,The Sims 2,DS,2005,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96,The Sims 2
2151,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,Dark Cloud 2
2152,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96,Jampack Summer '99
2153,PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,PlayStation All-Stars Battle Royale
2154,Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96,Dance Dance Revolution 2nd ReMIX
2155,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.72,0.17,0.0,0.07,0.96,Monster High: Ghoul Spirit
2156,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,Dragon Quest X
2157,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96,LEGO Pirates of the Caribbean: The Video Game
2158,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96,Gangs of London
2159,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,Mortal Kombat Trilogy
2160,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,Star Soldier
2161,Sonic Unleashed,X360,2008,Platform,Sega,0.54,0.33,0.0,0.09,0.96,Sonic Unleashed
2162,Lost Planet 2,PS3,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96,Lost Planet 2
2163,NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96,NHL 2001
2164,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,Dragon Quest Monsters: Terry's Wonderland 3D
2165,My Weight Loss Coach,DS,2008,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.96,My Weight Loss Coach
2166,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96,Tom Clancy's Ghost Recon: Future Soldier
2167,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Action,Capcom,0.39,0.0,0.53,0.03,0.96,Mega Man Star Force Dragon / Leo / Pegasus
2168,Shinobi,PS2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,Shinobi
2169,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.96,Mortal Kombat: Deadly Alliance
2170,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96,The Witcher 2: Assassins of Kings
2171,PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96,PilotWings Resort
2172,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96,Naruto Shippuden: Ultimate Ninja Storm 3
2173,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0.0,0.08,0.95,LEGO Jurassic World
2174,ESPN NBA 2K5,XB,2004,Sports,Global Star,0.88,0.04,0.0,0.04,0.95,ESPN NBA 2K5
2175,Wheel of Fortune,PS2,2007,Misc,Unknown,0.47,0.36,0.0,0.12,0.95,Wheel of Fortune
2176,World Championship Poker,PS2,2004,Misc,Play It,0.8,0.03,0.0,0.13,0.95,World Championship Poker
2177,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95,Tom Clancy's Splinter Cell: Chaos Theory
2178,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0.19,0.0,0.03,0.95,SpongeBob SquarePants: Battle for Bikini Bottom
